edge_type,source_id,source_name,source_type,target_id,target_name,target_type,key
InterpolatesFrom,0,Breaking These Chains,Song,1841,Ripples and Whispers,Song,0
RecordedBy,0,Breaking These Chains,Song,4,Nautical Mile Records,RecordLabel,0
PerformerOf,1,Carlos Duffy,Person,0,Breaking These Chains,Song,0
ComposerOf,1,Carlos Duffy,Person,16180,Siege of Barcelona's Twilight,Song,0
PerformerOf,2,Min Qin,Person,0,Breaking These Chains,Song,0
ProducerOf,2,Min Qin,Person,16180,Siege of Barcelona's Twilight,Song,0
PerformerOf,3,Xiuying Xie,Person,0,Breaking These Chains,Song,0
InterpolatesFrom,5,Unshackled Heart,Song,5088,Echoes of a Lonely Gaze,Song,0
InStyleOf,5,Unshackled Heart,Song,14332,Amber Twilight,Song,0
InterpolatesFrom,5,Unshackled Heart,Song,11677,Forbidden Embrace,Song,0
LyricalReferenceTo,5,Unshackled Heart,Song,2479,Echoes of Infinity,Song,0
CoverOf,5,Unshackled Heart,Song,827,When Pigs Fly,Song,0
InStyleOf,5,Unshackled Heart,Song,10417,Carnival Whispers,Song,0
InStyleOf,5,Unshackled Heart,Song,14768,Temporary Freedom,Song,0
InterpolatesFrom,5,Unshackled Heart,Song,13985,Seven Verses Before Dawn,Song,0
InterpolatesFrom,5,Unshackled Heart,Song,13297,Debt of Honor,Song,0
InterpolatesFrom,5,Unshackled Heart,Song,3387,Echoes Out of Time,Song,0
InStyleOf,5,Unshackled Heart,Song,9122,Radiant Descent,Album,0
CoverOf,5,Unshackled Heart,Song,8680,Celestial Tribunal,Album,0
InStyleOf,5,Unshackled Heart,Song,5928,Mist Over Mount Washu,Song,0
DistributedBy,5,Unshackled Heart,Song,9,Colline-Cascade Studios,RecordLabel,0
ComposerOf,6,Luke Payne,Person,5,Unshackled Heart,Song,0
MemberOf,7,Xiulan Zeng,Person,16881,Green Haze Collective,MusicalGroup,0
PerformerOf,7,Xiulan Zeng,Person,5088,Echoes of a Lonely Gaze,Song,0
PerformerOf,7,Xiulan Zeng,Person,5,Unshackled Heart,Song,0
LyricistOf,7,Xiulan Zeng,Person,6231,Echoes from Zion's Walls,Album,0
PerformerOf,7,Xiulan Zeng,Person,6231,Echoes from Zion's Walls,Album,1
PerformerOf,7,Xiulan Zeng,Person,7054,Whispers of the Caravan,Song,0
LyricistOf,7,Xiulan Zeng,Person,9808,Lawn Mower Lament,Song,0
PerformerOf,7,Xiulan Zeng,Person,9808,Lawn Mower Lament,Song,1
PerformerOf,7,Xiulan Zeng,Person,13567,Lowered Expectations,Album,0
ProducerOf,7,Xiulan Zeng,Person,13567,Lowered Expectations,Album,1
ProducerOf,7,Xiulan Zeng,Person,14175,Our Unwritten Story,Song,0
PerformerOf,7,Xiulan Zeng,Person,16514,Singular Constellation,Song,0
MemberOf,8,David Franklin,Person,16881,Green Haze Collective,MusicalGroup,0
PerformerOf,8,David Franklin,Person,5,Unshackled Heart,Song,0
PerformerOf,8,David Franklin,Person,7054,Whispers of the Caravan,Song,0
LyricistOf,8,David Franklin,Person,13567,Lowered Expectations,Album,0
InterpolatesFrom,10,No Limits Left,Song,14322,Telegrams from Tomorrow,Song,0
RecordedBy,10,No Limits Left,Song,14,Ipecac Echo,RecordLabel,0
ProducerOf,11,Gang Long,Person,10,No Limits Left,Song,0
ProducerOf,11,Gang Long,Person,11459,Glacial Pulse,Song,0
ProducerOf,11,Gang Long,Person,14322,Telegrams from Tomorrow,Song,0
ComposerOf,12,Yong Yi,Person,10,No Limits Left,Song,0
ComposerOf,12,Yong Yi,Person,11459,Glacial Pulse,Song,0
LyricistOf,13,Li Yi,Person,10,No Limits Left,Song,0
PerformerOf,13,Li Yi,Person,10,No Limits Left,Song,1
LyricistOf,13,Li Yi,Person,11459,Glacial Pulse,Song,0
PerformerOf,13,Li Yi,Person,11459,Glacial Pulse,Song,1
InterpolatesFrom,15,Sovereign Soul,Song,16367,Whispers of Cerulean,Song,0
RecordedBy,15,Sovereign Soul,Song,24,Echo Chamber Studios | ECS,RecordLabel,0
DistributedBy,15,Sovereign Soul,Song,21,Plenaod Groove,RecordLabel,0
LyricistOf,16,Timothy Shea,Person,15,Sovereign Soul,Song,0
PerformerOf,16,Timothy Shea,Person,15,Sovereign Soul,Song,1
ComposerOf,16,Timothy Shea,Person,16367,Whispers of Cerulean,Song,0
ComposerOf,17,Philippine Colin,Person,15,Sovereign Soul,Song,0
PerformerOf,17,Philippine Colin,Person,15,Sovereign Soul,Song,1
ProducerOf,18,Connor Juarez,Person,15,Sovereign Soul,Song,0
PerformerOf,19,Jordan Mullins,Person,15,Sovereign Soul,Song,0
LyricistOf,19,Jordan Mullins,Person,16367,Whispers of Cerulean,Song,0
PerformerOf,20,Xiuying Meng,Person,15,Sovereign Soul,Song,0
PerformerOf,20,Xiuying Meng,Person,6827,Fading Echoes,Song,0
PerformerOf,20,Xiuying Meng,Person,16367,Whispers of Cerulean,Song,0
LyricalReferenceTo,26,"Clean Lungs, Clear Mind",Song,4932,Harmony in the Alleyway,Album,0
LyricalReferenceTo,26,"Clean Lungs, Clear Mind",Song,10836,The Last Word Unsaid,Song,0
LyricalReferenceTo,26,"Clean Lungs, Clear Mind",Song,15047,The Last Frame of Pola,Song,0
InStyleOf,26,"Clean Lungs, Clear Mind",Song,7574,Braided Stories,Song,0
DirectlySamples,26,"Clean Lungs, Clear Mind",Song,13628,"Hydraulic Heart, Gerd",Song,0
RecordedBy,26,"Clean Lungs, Clear Mind",Song,32,Collective Harmony,RecordLabel,0
DistributedBy,26,"Clean Lungs, Clear Mind",Song,31,Galil Groove,RecordLabel,0
LyricistOf,27,Anatol Dietz,Person,26,"Clean Lungs, Clear Mind",Song,0
PerformerOf,27,Anatol Dietz,Person,26,"Clean Lungs, Clear Mind",Song,1
ComposerOf,27,Anatol Dietz,Person,10836,The Last Word Unsaid,Song,0
LyricistOf,27,Anatol Dietz,Person,13628,"Hydraulic Heart, Gerd",Song,0
PerformerOf,28,Tracy Simpson,Person,26,"Clean Lungs, Clear Mind",Song,0
PerformerOf,29,Lorraine Martinez,Person,26,"Clean Lungs, Clear Mind",Song,0
PerformerOf,29,Lorraine Martinez,Person,148,Grandfather's Faded Photographs,Song,0
PerformerOf,29,Lorraine Martinez,Person,8739,Frost and Faith,Song,0
ProducerOf,29,Lorraine Martinez,Person,8739,Frost and Faith,Song,1
PerformerOf,29,Lorraine Martinez,Person,10651,Whispered Waltzes in Minor,Album,0
PerformerOf,29,Lorraine Martinez,Person,10836,The Last Word Unsaid,Song,0
ProducerOf,29,Lorraine Martinez,Person,10836,The Last Word Unsaid,Song,1
PerformerOf,29,Lorraine Martinez,Person,12346,Temples and Shadows,Song,0
PerformerOf,29,Lorraine Martinez,Person,16421,Unraveled (A Cassidy Story),Song,0
PerformerOf,30,Megan Bennett,Person,16161,Stone and Water: A London Passage,Song,0
LyricistOf,30,Megan Bennett,Person,16161,Stone and Water: A London Passage,Song,1
ComposerOf,30,Megan Bennett,Person,16161,Stone and Water: A London Passage,Song,2
ComposerOf,30,Megan Bennett,Person,26,"Clean Lungs, Clear Mind",Song,0
PerformerOf,30,Megan Bennett,Person,26,"Clean Lungs, Clear Mind",Song,1
ComposerOf,30,Megan Bennett,Person,2639,Windowsill Whispers,Song,0
PerformerOf,30,Megan Bennett,Person,4861,Civic Pride: A Municipal Melody,Song,0
ProducerOf,30,Megan Bennett,Person,4870,Whispers of the Trembling Heart,Album,0
