work_id,work_name,node_type,genre,release_date,written_date,notoriety_date,notable,performer_id,performer_name,performer_type
5284,Read Receipts and Regrets,Song,Blues Rock,1984,1984,1984,True,3126,Maik Mude,Person
5383,Tropical Determination,Song,Indie Folk,1984,,1984,True,5385,Elizabeth Flores,Person
15524,Maritime Marauder's Lament,Song,Jazz Surf Rock,1984,1984,1984,True,15526,Katherine Wang,Person
5284,Read Receipts and Regrets,Song,Blues Rock,1984,1984,1984,True,3781,Janos Zimmer,Person
5383,Tropical Determination,Song,Indie Folk,1984,,1984,True,5384,Jennifer Henderson,Person
6674,Närma dig friden (Approach the Peace),Song,Blues Rock,1984,,1984,True,1914,Ewelina Jeszke,Person
7263,Dusk's Melodic Embrace,Album,Alternative Rock,1985,1985,1985,True,7265,Rika Yamamoto,Person
13236,Curiosity's Blind Spot,Song,Blues Rock,1987,,1987,True,9384,Paula Mercado,Person
13519,Commitment's Embrace,Song,Blues Rock,1987,,1987,True,7883,Rati Deo,Person
13525,Jubilee Rising,Song,Alternative Rock,1987,,1987,True,13526,Daniel Smith,Person
14823,Hooves and Hushed Voices,Song,Dream Pop,1987,,1987,True,14824,Naoki Sato,Person
14823,Hooves and Hushed Voices,Song,Dream Pop,1987,,1987,True,14826,Xiuying Zhou,Person
13236,Curiosity's Blind Spot,Song,Blues Rock,1987,,1987,True,16863,Restless Verse,MusicalGroup
7574,Braided Stories,Song,Speed Metal,1989,,1989,True,2207,Brian Wright,Person
15290,Mutual Understanding,Song,Dream Pop,1991,,1991,True,11306,Joseph Ramirez,Person
15290,Mutual Understanding,Song,Dream Pop,1991,,1991,True,11307,Timothy Riley,Person
14518,Symphonic Prologue,Song,Synthwave,1991,,1991,True,14521,Théophile de Carlier,Person
15290,Mutual Understanding,Song,Dream Pop,1991,,1991,True,11305,Nirvaan Barman,Person
14518,Symphonic Prologue,Song,Synthwave,1991,,1991,True,14519,William Burton,Person
1461,Hellbound Harmony,Album,Dream Pop,1991,1991,1991,True,1462,Li Qiu,Person
1461,Hellbound Harmony,Album,Dream Pop,1991,1991,1991,True,1465,Lei Duan,Person
1461,Hellbound Harmony,Album,Dream Pop,1991,1991,1991,True,1464,Yong Tian,Person
1461,Hellbound Harmony,Album,Dream Pop,1991,1991,1991,True,1463,Yan Song,Person
15290,Mutual Understanding,Song,Dream Pop,1991,,1991,True,11304,Elwira Heuser,Person
16389,Silent Resilience,Song,Southern Gothic Rock,1992,1992,1992,True,16391,Anaya Butala,Person
16389,Silent Resilience,Song,Southern Gothic Rock,1992,1992,1992,True,16390,Joseph Long,Person
6868,Turning the Page,Album,Indie Pop,1992,,1992,True,2070,Jay Walters,Person
16389,Silent Resilience,Song,Southern Gothic Rock,1992,1992,1992,True,16002,Michael Hartman,Person
3766,Kompass,Song,Dream Pop,1992,1992,1992,True,3768,Plinio Ribas,Person
3766,Kompass,Song,Dream Pop,1992,1992,1992,True,3769,Ulises Gomila Morell,Person
3766,Kompass,Song,Dream Pop,1992,1992,1992,True,3770,Paca Ema Mosquera Cepeda,Person
16389,Silent Resilience,Song,Southern Gothic Rock,1992,1992,1992,True,16003,Steven Fox,Person
13379,Rebel's Crown,Song,Alternative Rock,1992,1992,1992,True,2551,Lindsay Nichols,Person
8872,"Autumn Whispers, Heartbeats Tender",Song,Speed Metal,1993,,1993,True,151,Gang Zhao,Person
8872,"Autumn Whispers, Heartbeats Tender",Song,Speed Metal,1993,,1993,True,6228,Ping Yao,Person
1913,Scattered Giggles,Album,Indie Pop,1993,,1993,True,1914,Ewelina Jeszke,Person
14590,Neon Gunslinger,Song,Synthwave,1994,,1994,True,14591,Wei Zhang,Person
13062,Rhythmic Undertow,Song,Doom Metal,1994,,1994,True,5048,Dennis Bush,Person
14588,Burning Young Hearts,Song,Avant-Garde Folk,1994,,1994,True,250,Mareen Schacht,Person
4684,Huh?,Song,Indie Folk,1994,1994,1994,True,4685,Ashley Castillo,Person
13062,Rhythmic Undertow,Song,Doom Metal,1994,,1994,True,5049,Robert Knight,Person
8364,The Destructive Impulse,Album,Blues Rock,1994,,1994,True,8365,Calvin Kemp,Person
7184,Spirit of St. Louis Swing,Song,Indie Pop,1994,,1994,True,7187,Alfred Tschentscher,Person
7184,Spirit of St. Louis Swing,Song,Indie Pop,1994,,1994,True,7186,Stefan Zirme,Person
7184,Spirit of St. Louis Swing,Song,Indie Pop,1994,,1994,True,7185,Wigbert Scholl,Person
13062,Rhythmic Undertow,Song,Doom Metal,1994,,1994,True,99,Miki Hayashi,Person
15896,Whispers Unsaid,Song,Alternative Rock,1994,,1994,True,15897,Ryan Murphy,Person
11572,Fever Pitch Madness,Song,Speed Metal,1995,,1995,True,30,Megan Bennett,Person
11572,Fever Pitch Madness,Song,Speed Metal,1995,,1995,True,11573,Sarah Patrick,Person
13701,The Last Message,Song,Indie Pop,1995,1995,1995,True,13702,Sheri Hernandez,Person
