edge_type,source_id,source_name,source_genre,source_release_date,source_notable,source_notoriety_date,target_id,target_name,target_genre,target_release_date,target_notable
InStyleOf,8148,Shadows in Sleep,Oceanus Folk,2009,False,,2691,Mythical Mane,Oceanus Folk,1992,True
DirectlySamples,14652,Alphabet Anarchy,Oceanus Folk,2020,True,,2691,Mythical Mane,Oceanus Folk,1992,True
InStyleOf,17094,Speed Demon’s Hymn,Speed Metal,2034,False,,17320,Bones in the Brig,Oceanus Folk,1994,False
InStyleOf,15735,"Stolen Glances, Spinning Hearts",Dream Pop,2023,True,,9922,Hjertets Soloppgang (Sunrise of the Heart),Oceanus Folk,1994,True
InStyleOf,196,Radiant Dreams,Indie Folk,2017,True,,13324,Exile's Whisper,Oceanus Folk,2004,True
InStyleOf,10313,Whispers of a Wandering Soul,Dream Pop,2022,True,,13324,Exile's Whisper,Oceanus Folk,2004,True
InStyleOf,17153,The Final Broadcast,Indie Rock,2034,True,,11767,Venom's Whisper,Oceanus Folk,2004,True
InStyleOf,9780,The Plaintive Pipe's Journey,Dream Pop,2029,True,2029,13324,Exile's Whisper,Oceanus Folk,2004,True
DirectlySamples,4464,Halfway to Somewhere,Dream Pop,2017,True,,4348,Hysterical Revenge,Oceanus Folk,2004,True
InStyleOf,8837,The Unfolding: Thirty Breaths,Darkwave,2028,True,,4348,Hysterical Revenge,Oceanus Folk,2004,True
InterpolatesFrom,7594,Winds of Jaguaribe's Promise,Dream Pop,2020,True,,9003,Echoes of Departure,Oceanus Folk,2004,True
InterpolatesFrom,7525,Nishadpati's Lament,Oceanus Folk,2021,True,,13324,Exile's Whisper,Oceanus Folk,2004,True
InStyleOf,3501,Beyond Our Limitations,Oceanus Folk,2007,True,,13324,Exile's Whisper,Oceanus Folk,2004,True
InStyleOf,7281,When Shadows Consume Me,Doom Metal,2017,True,,13324,Exile's Whisper,Oceanus Folk,2004,True
InterpolatesFrom,3580,Shadows of Unexpressed Feelings,Dream Pop,2027,True,,13324,Exile's Whisper,Oceanus Folk,2004,True
DirectlySamples,2272,Borrowed Time,Space Rock,2022,True,,13324,Exile's Whisper,Oceanus Folk,2004,True
InStyleOf,6994,Clocktower Cadence,Oceanus Folk,2017,True,,13324,Exile's Whisper,Oceanus Folk,2004,True
CoverOf,6752,Soft Collisions,Oceanus Folk,2010,True,,13324,Exile's Whisper,Oceanus Folk,2004,True
LyricalReferenceTo,6505,Nanjing Road Rhythm,Americana,2012,True,,4565,Unbroken Silence,Oceanus Folk,2004,True
InStyleOf,6505,Nanjing Road Rhythm,Americana,2012,True,,11767,Venom's Whisper,Oceanus Folk,2004,True
CoverOf,6130,Unfolding Path,Doom Metal,2026,True,,4348,Hysterical Revenge,Oceanus Folk,2004,True
CoverOf,5264,Faded Denim Days,Doom Metal,2007,True,,11767,Venom's Whisper,Oceanus Folk,2004,True
CoverOf,5100,Sylvan Bride's Lament,Oceanus Folk,2010,True,,13324,Exile's Whisper,Oceanus Folk,2004,True
InStyleOf,16626,Whispers of Her Resilience,Dream Pop,2021,True,,9003,Echoes of Departure,Oceanus Folk,2004,True
CoverOf,17104,Letters in the Attic,Emo/Pop Punk,2033,True,,11767,Venom's Whisper,Oceanus Folk,2004,True
CoverOf,7278,Requiem for a Fading Self,Synthwave,2022,True,2022,13324,Exile's Whisper,Oceanus Folk,2004,True
CoverOf,10716,Guardians of Honor,Americana,2027,True,,13777,Gravity's Anchor,Oceanus Folk,2004,True
InStyleOf,4639,Intricate Landscapes of Microscopic Kingdoms,Indie Folk,2026,True,,13324,Exile's Whisper,Oceanus Folk,2004,True
CoverOf,14333,Echoes of Autumn's Farewell,Post-Apocalyptic Folk,2024,True,,4348,Hysterical Revenge,Oceanus Folk,2004,True
CoverOf,11797,Broker's Burden,Oceanus Folk,2020,True,,13324,Exile's Whisper,Oceanus Folk,2004,True
InterpolatesFrom,12067,Fragments of Friendship,Oceanus Folk,2024,True,,13324,Exile's Whisper,Oceanus Folk,2004,True
InStyleOf,15994,Mercy's Infinite Echo,Oceanus Folk,2007,True,,4348,Hysterical Revenge,Oceanus Folk,2004,True
InterpolatesFrom,13076,Shadows in the Forest,Indie Folk,2026,True,,13324,Exile's Whisper,Oceanus Folk,2004,True
DirectlySamples,13232,The Wisdom of Not Knowing,Oceanus Folk,2027,True,,13324,Exile's Whisper,Oceanus Folk,2004,True
LyricalReferenceTo,13563,Unique Frequencies,Synthpop,2017,True,,13324,Exile's Whisper,Oceanus Folk,2004,True
InterpolatesFrom,14640,Aşkın Sızısı,Dream Pop,2017,True,,13324,Exile's Whisper,Oceanus Folk,2004,True
InStyleOf,16133,Devotion's Horizon,Oceanus Folk,2004,True,,13324,Exile's Whisper,Oceanus Folk,2004,True
InStyleOf,14528,Heart on Fire,Space Rock,2024,True,,13324,Exile's Whisper,Oceanus Folk,2004,True
InStyleOf,13438,Whispers of Forever,Oceanus Folk,2019,True,,13324,Exile's Whisper,Oceanus Folk,2004,True
InStyleOf,15481,Whispers in the Silence,Oceanus Folk,2013,True,,13324,Exile's Whisper,Oceanus Folk,2004,True
InterpolatesFrom,6994,Clocktower Cadence,Oceanus Folk,2017,True,,3501,Beyond Our Limitations,Oceanus Folk,2007,True
InterpolatesFrom,6752,Soft Collisions,Oceanus Folk,2010,True,,3501,Beyond Our Limitations,Oceanus Folk,2007,True
InStyleOf,14640,Aşkın Sızısı,Dream Pop,2017,True,,3501,Beyond Our Limitations,Oceanus Folk,2007,True
InStyleOf,16192,The Question That Lingers,Oceanus Folk,2026,True,,3501,Beyond Our Limitations,Oceanus Folk,2007,True
InStyleOf,15542,Hope on the Horizon,Americana,2020,True,,3501,Beyond Our Limitations,Oceanus Folk,2007,True
InterpolatesFrom,5457,Six Feet From You,Oceanus Folk,2017,True,,3501,Beyond Our Limitations,Oceanus Folk,2007,True
InterpolatesFrom,5100,Sylvan Bride's Lament,Oceanus Folk,2010,True,,3501,Beyond Our Limitations,Oceanus Folk,2007,True
InterpolatesFrom,15812,Elevation of Desire,Oceanus Folk,2023,True,,3501,Beyond Our Limitations,Oceanus Folk,2007,True
DirectlySamples,15817,Ridges of Romance,Americana,2024,True,2024,3501,Beyond Our Limitations,Oceanus Folk,2007,True
InterpolatesFrom,4945,Beyond the Price Tag,Desert Rock,2026,False,,13965,The Last Goodbye's Farewell,Oceanus Folk,2007,False
CoverOf,6065,Push Through the Doubt,Dream Pop,2029,True,,3501,Beyond Our Limitations,Oceanus Folk,2007,True
InStyleOf,14469,Take It All,Space Rock,2026,True,,13965,The Last Goodbye's Farewell,Oceanus Folk,2007,False
DirectlySamples,11269,Dust and Determination,Indie Folk,2016,True,,13965,The Last Goodbye's Farewell,Oceanus Folk,2007,False
InStyleOf,7224,Postcards from Julianne's Heart,Oceanus Folk,2022,True,,3501,Beyond Our Limitations,Oceanus Folk,2007,True
CoverOf,10318,Roadside Memories,Oceanus Folk,2010,True,,13965,The Last Goodbye's Farewell,Oceanus Folk,2007,False
InStyleOf,10313,Whispers of a Wandering Soul,Dream Pop,2022,True,,3501,Beyond Our Limitations,Oceanus Folk,2007,True
LyricalReferenceTo,16276,Perimeter,Oceanus Folk,2020,True,,3501,Beyond Our Limitations,Oceanus Folk,2007,True
InStyleOf,9308,Ancestral Melodies of the Plains,Dream Pop,2022,True,,13965,The Last Goodbye's Farewell,Oceanus Folk,2007,False
DirectlySamples,16508,When Time Aligns,Indie Folk,2010,True,,3501,Beyond Our Limitations,Oceanus Folk,2007,True
InterpolatesFrom,9158,The Timing is Now,Oceanus Folk,2013,True,,3501,Beyond Our Limitations,Oceanus Folk,2007,True
CoverOf,16127,Faithful Shores,Indie Folk,2018,True,,13965,The Last Goodbye's Farewell,Oceanus Folk,2007,False
CoverOf,13232,The Wisdom of Not Knowing,Oceanus Folk,2027,True,,3501,Beyond Our Limitations,Oceanus Folk,2007,True
InStyleOf,8233,Roots and Winds of Departure,Oceanus Folk,2010,True,,15994,Mercy's Infinite Echo,Oceanus Folk,2007,True
InStyleOf,7982,Twelve Months of You,Oceanus Folk,2024,True,,3501,Beyond Our Limitations,Oceanus Folk,2007,True
InStyleOf,13438,Whispers of Forever,Oceanus Folk,2019,True,,3501,Beyond Our Limitations,Oceanus Folk,2007,True
CoverOf,13530,Fireworks and Freedom,Oceanus Folk,2017,True,,3501,Beyond Our Limitations,Oceanus Folk,2007,True
InStyleOf,7403,Conduct Code,Dream Pop,2027,True,,3501,Beyond Our Limitations,Oceanus Folk,2007,True
LyricalReferenceTo,13768,Salt-Stained Serenade,Dream Pop,2027,True,,13965,The Last Goodbye's Farewell,Oceanus Folk,2007,False
DirectlySamples,11130,Denali's Whisper,Space Rock,2027,True,,3501,Beyond Our Limitations,Oceanus Folk,2007,True
CoverOf,7001,Spring's Rhythmic Parade,Americana,2017,True,,3501,Beyond Our Limitations,Oceanus Folk,2007,True
DirectlySamples,9685,Earthsong Eternal,Oceanus Folk,2013,True,,3501,Beyond Our Limitations,Oceanus Folk,2007,True
DirectlySamples,16127,Faithful Shores,Indie Folk,2018,True,,3501,Beyond Our Limitations,Oceanus Folk,2007,True
DirectlySamples,2272,Borrowed Time,Space Rock,2022,True,,3501,Beyond Our Limitations,Oceanus Folk,2007,True
CoverOf,3580,Shadows of Unexpressed Feelings,Dream Pop,2027,True,,3501,Beyond Our Limitations,Oceanus Folk,2007,True
CoverOf,14652,Alphabet Anarchy,Oceanus Folk,2020,True,,8148,Shadows in Sleep,Oceanus Folk,2009,False
LyricalReferenceTo,6941,Echoes of Devotion,Oceanus Folk,2023,True,,15032,Wavelengths of Lingering Queries,Oceanus Folk,2009,True
CoverOf,9158,The Timing is Now,Oceanus Folk,2013,True,,6752,Soft Collisions,Oceanus Folk,2010,True
InterpolatesFrom,6474,Midsummer's Melody,Dream Pop,2027,True,,5100,Sylvan Bride's Lament,Oceanus Folk,2010,True
InStyleOf,3991,Instrument Failure,Synthwave,2021,False,,5100,Sylvan Bride's Lament,Oceanus Folk,2010,True
InStyleOf,17352,Whispers on the Jetty Wind,Oceanus Folk,2031,True,2031,11485,Eternal Connection,Oceanus Folk,2010,True
CoverOf,14666,Close Enough to Touch,Oceanus Folk,2029,True,,8233,Roots and Winds of Departure,Oceanus Folk,2010,True
LyricalReferenceTo,3194,Abundance Overflowing,Oceanus Folk,2017,True,,11836,Unwritten Lines Between Shadows,Oceanus Folk,2010,True
